annee_de_deces;departement_de_domicile;sexe;cause_initiale_de_deces;effectif_de_deces
2021;02;Hommes;2. Tumeurs;851
2022;02;Hommes;2. Tumeurs;845
1990;03;Hommes;2. Tumeurs;716
1991;03;Hommes;2. Tumeurs;737
1992;03;Hommes;2. Tumeurs;730
1993;03;Hommes;2. Tumeurs;736
1994;03;Hommes;2. Tumeurs;774
1995;03;Hommes;2. Tumeurs;715
1996;03;Hommes;2. Tumeurs;734
1997;03;Hommes;2. Tumeurs;758
1998;03;Hommes;2. Tumeurs;754
1999;03;Hommes;2. Tumeurs;730
2000;03;Hommes;2. Tumeurs;721
2001;03;Hommes;2. Tumeurs;760
2002;03;Hommes;2. Tumeurs;778
2003;03;Hommes;2. Tumeurs;760
2004;03;Hommes;2. Tumeurs;678
2005;03;Hommes;2. Tumeurs;804
2006;03;Hommes;2. Tumeurs;702
2007;03;Hommes;2. Tumeurs;751
2008;03;Hommes;2. Tumeurs;763
2009;03;Hommes;2. Tumeurs;754
2010;03;Hommes;2. Tumeurs;689
2011;03;Hommes;2. Tumeurs;668
2012;03;Hommes;2. Tumeurs;710
2013;03;Hommes;2. Tumeurs;707
2014;03;Hommes;2. Tumeurs;702
2015;03;Hommes;2. Tumeurs;657
2016;03;Hommes;2. Tumeurs;700
2017;03;Hommes;2. Tumeurs;733
2018;03;Hommes;2. Tumeurs;715
2019;03;Hommes;2. Tumeurs;716
2020;03;Hommes;2. Tumeurs;714
2021;03;Hommes;2. Tumeurs;667
2022;03;Hommes;2. Tumeurs;655
1990;04;Hommes;2. Tumeurs;214
1991;04;Hommes;2. Tumeurs;225
1992;04;Hommes;2. Tumeurs;244
1993;04;Hommes;2. Tumeurs;226
1994;04;Hommes;2. Tumeurs;240
1995;04;Hommes;2. Tumeurs;254
1996;04;Hommes;2. Tumeurs;251
1997;04;Hommes;2. Tumeurs;235
1998;04;Hommes;2. Tumeurs;229
1999;04;Hommes;2. Tumeurs;223
2000;04;Hommes;2. Tumeurs;217
2001;04;Hommes;2. Tumeurs;254
2002;04;Hommes;2. Tumeurs;264
2003;04;Hommes;2. Tumeurs;273
2004;04;Hommes;2. Tumeurs;254
2005;04;Hommes;2. Tumeurs;265
2006;04;Hommes;2. Tumeurs;262
2007;04;Hommes;2. Tumeurs;280
2008;04;Hommes;2. Tumeurs;273
2009;04;Hommes;2. Tumeurs;296
2010;04;Hommes;2. Tumeurs;259
2011;04;Hommes;2. Tumeurs;259
2012;04;Hommes;2. Tumeurs;281
2013;04;Hommes;2. Tumeurs;286
2014;04;Hommes;2. Tumeurs;294
2015;04;Hommes;2. Tumeurs;313
2016;04;Hommes;2. Tumeurs;289
2017;04;Hommes;2. Tumeurs;287
2018;04;Hommes;2. Tumeurs;309
2019;04;Hommes;2. Tumeurs;321
2020;04;Hommes;2. Tumeurs;297
2021;04;Hommes;2. Tumeurs;330
2022;04;Hommes;2. Tumeurs;324
1990;05;Hommes;2. Tumeurs;209
1991;05;Hommes;2. Tumeurs;157
1992;05;Hommes;2. Tumeurs;176
1993;05;Hommes;2. Tumeurs;191
1994;05;Hommes;2. Tumeurs;205
1995;05;Hommes;2. Tumeurs;173
1996;05;Hommes;2. Tumeurs;197
1997;05;Hommes;2. Tumeurs;177
1998;05;Hommes;2. Tumeurs;169
1999;05;Hommes;2. Tumeurs;200
2000;05;Hommes;2. Tumeurs;174
2001;05;Hommes;2. Tumeurs;183
2002;05;Hommes;2. Tumeurs;190
2003;05;Hommes;2. Tumeurs;199
2004;05;Hommes;2. Tumeurs;223
2005;05;Hommes;2. Tumeurs;211
2006;05;Hommes;2. Tumeurs;213
2007;05;Hommes;2. Tumeurs;203
2008;05;Hommes;2. Tumeurs;216
2009;05;Hommes;2. Tumeurs;198
2010;05;Hommes;2. Tumeurs;234
2011;05;Hommes;2. Tumeurs;202
2012;05;Hommes;2. Tumeurs;206
2013;05;Hommes;2. Tumeurs;195
2014;05;Hommes;2. Tumeurs;197
2015;05;Hommes;2. Tumeurs;203
2016;05;Hommes;2. Tumeurs;227
2017;05;Hommes;2. Tumeurs;219
2018;05;Hommes;2. Tumeurs;247
2019;05;Hommes;2. Tumeurs;232
2020;05;Hommes;2. Tumeurs;221
2021;05;Hommes;2. Tumeurs;237
2022;05;Hommes;2. Tumeurs;212
1990;06;Hommes;2. Tumeurs;1690
1991;06;Hommes;2. Tumeurs;1735
1992;06;Hommes;2. Tumeurs;1708
1993;06;Hommes;2. Tumeurs;1824
1994;06;Hommes;2. Tumeurs;1734
1995;06;Hommes;2. Tumeurs;1684
1996;06;Hommes;2. Tumeurs;1753
1997;06;Hommes;2. Tumeurs;1680
1998;06;Hommes;2. Tumeurs;1787
1999;06;Hommes;2. Tumeurs;1724
2000;06;Hommes;2. Tumeurs;1703
2001;06;Hommes;2. Tumeurs;1715
2002;06;Hommes;2. Tumeurs;1662
2003;06;Hommes;2. Tumeurs;1678
2004;06;Hommes;2. Tumeurs;1730
2005;06;Hommes;2. Tumeurs;1790
2006;06;Hommes;2. Tumeurs;1759
2007;06;Hommes;2. Tumeurs;1650
2008;06;Hommes;2. Tumeurs;1731
2009;06;Hommes;2. Tumeurs;1694
2010;06;Hommes;2. Tumeurs;1449
2011;06;Hommes;2. Tumeurs;1623
2012;06;Hommes;2. Tumeurs;1667
2013;06;Hommes;2. Tumeurs;1617
2014;06;Hommes;2. Tumeurs;1661
2015;06;Hommes;2. Tumeurs;1688
2016;06;Hommes;2. Tumeurs;1528
2017;06;Hommes;2. Tumeurs;1669
2018;06;Hommes;2. Tumeurs;1643
2019;06;Hommes;2. Tumeurs;1634
2020;06;Hommes;2. Tumeurs;1667
2021;06;Hommes;2. Tumeurs;1635
2022;06;Hommes;2. Tumeurs;1653
1990;07;Hommes;2. Tumeurs;461
1991;07;Hommes;2. Tumeurs;542
1992;07;Hommes;2. Tumeurs;502
1993;07;Hommes;2. Tumeurs;455
1994;07;Hommes;2. Tumeurs;486
1995;07;Hommes;2. Tumeurs;504
1996;07;Hommes;2. Tumeurs;473
1997;07;Hommes;2. Tumeurs;469
1998;07;Hommes;2. Tumeurs;511
1999;07;Hommes;2. Tumeurs;487
2000;07;Hommes;2. Tumeurs;497
2001;07;Hommes;2. Tumeurs;559
2002;07;Hommes;2. Tumeurs;453
2003;07;Hommes;2. Tumeurs;511
2004;07;Hommes;2. Tumeurs;544
2005;07;Hommes;2. Tumeurs;501
2006;07;Hommes;2. Tumeurs;553
2007;07;Hommes;2. Tumeurs;542
2008;07;Hommes;2. Tumeurs;539
2009;07;Hommes;2. Tumeurs;542
2010;07;Hommes;2. Tumeurs;574
2011;07;Hommes;2. Tumeurs;523
2012;07;Hommes;2. Tumeurs;521
2013;07;Hommes;2. Tumeurs;619
2014;07;Hommes;2. Tumeurs;549
2015;07;Hommes;2. Tumeurs;557
2016;07;Hommes;2. Tumeurs;581
2017;07;Hommes;2. Tumeurs;604
2018;07;Hommes;2. Tumeurs;608
2019;07;Hommes;2. Tumeurs;612
2020;07;Hommes;2. Tumeurs;562
2021;07;Hommes;2. Tumeurs;604
2022;07;Hommes;2. Tumeurs;604
1990;08;Hommes;2. Tumeurs;484
1991;08;Hommes;2. Tumeurs;470
1992;08;Hommes;2. Tumeurs;459
1993;08;Hommes;2. Tumeurs;503
1994;08;Hommes;2. Tumeurs;551
1995;08;Hommes;2. Tumeurs;502
1996;08;Hommes;2. Tumeurs;504
1997;08;Hommes;2. Tumeurs;467
1998;08;Hommes;2. Tumeurs;499
1999;08;Hommes;2. Tumeurs;520
2000;08;Hommes;2. Tumeurs;491
2001;08;Hommes;2. Tumeurs;496
2002;08;Hommes;2. Tumeurs;557
2003;08;Hommes;2. Tumeurs;486
2004;08;Hommes;2. Tumeurs;498
2005;08;Hommes;2. Tumeurs;486
2006;08;Hommes;2. Tumeurs;490
2007;08;Hommes;2. Tumeurs;485
2008;08;Hommes;2. Tumeurs;493
2009;08;Hommes;2. Tumeurs;498
2010;08;Hommes;2. Tumeurs;494
2011;08;Hommes;2. Tumeurs;482
2012;08;Hommes;2. Tumeurs;481
2013;08;Hommes;2. Tumeurs;448
2014;08;Hommes;2. Tumeurs;516
2015;08;Hommes;2. Tumeurs;499
2016;08;Hommes;2. Tumeurs;438
2017;08;Hommes;2. Tumeurs;477
2018;08;Hommes;2. Tumeurs;439
2019;08;Hommes;2. Tumeurs;456
2020;08;Hommes;2. Tumeurs;430
2021;08;Hommes;2. Tumeurs;444
2022;08;Hommes;2. Tumeurs;440
1990;09;Hommes;2. Tumeurs;274
1991;09;Hommes;2. Tumeurs;273
1992;09;Hommes;2. Tumeurs;250
1993;09;Hommes;2. Tumeurs;260
1994;09;Hommes;2. Tumeurs;262
1995;09;Hommes;2. Tumeurs;259
1996;09;Hommes;2. Tumeurs;285
1997;09;Hommes;2. Tumeurs;285
1998;09;Hommes;2. Tumeurs;259
1999;09;Hommes;2. Tumeurs;247
2000;09;Hommes;2. Tumeurs;269
2001;09;Hommes;2. Tumeurs;255
2002;09;Hommes;2. Tumeurs;287
2003;09;Hommes;2. Tumeurs;273
2004;09;Hommes;2. Tumeurs;286
2005;09;Hommes;2. Tumeurs;303
2006;09;Hommes;2. Tumeurs;267
2007;09;Hommes;2. Tumeurs;275
2008;09;Hommes;2. Tumeurs;260
2009;09;Hommes;2. Tumeurs;265
2010;09;Hommes;2. Tumeurs;290
2011;09;Hommes;2. Tumeurs;264
2012;09;Hommes;2. Tumeurs;260
2013;09;Hommes;2. Tumeurs;248
2014;09;Hommes;2. Tumeurs;282
2015;09;Hommes;2. Tumeurs;284
2016;09;Hommes;2. Tumeurs;254
2017;09;Hommes;2. Tumeurs;292
2018;09;Hommes;2. Tumeurs;255
2019;09;Hommes;2. Tumeurs;288
2020;09;Hommes;2. Tumeurs;306
2021;09;Hommes;2. Tumeurs;260
2022;09;Hommes;2. Tumeurs;288
1990;10;Hommes;2. Tumeurs;468
1991;10;Hommes;2. Tumeurs;489
1992;10;Hommes;2. Tumeurs;495
1993;10;Hommes;2. Tumeurs;488
1994;10;Hommes;2. Tumeurs;474
1995;10;Hommes;2. Tumeurs;471
1996;10;Hommes;2. Tumeurs;516
1997;10;Hommes;2. Tumeurs;503
1998;10;Hommes;2. Tumeurs;520
1999;10;Hommes;2. Tumeurs;539
2000;10;Hommes;2. Tumeurs;475
2001;10;Hommes;2. Tumeurs;508
2002;10;Hommes;2. Tumeurs;499
2003;10;Hommes;2. Tumeurs;524
2004;10;Hommes;2. Tumeurs;473
2005;10;Hommes;2. Tumeurs;506
2006;10;Hommes;2. Tumeurs;489
2007;10;Hommes;2. Tumeurs;463
2008;10;Hommes;2. Tumeurs;509
2009;10;Hommes;2. Tumeurs;516
2010;10;Hommes;2. Tumeurs;528
2011;10;Hommes;2. Tumeurs;465
2012;10;Hommes;2. Tumeurs;502
2013;10;Hommes;2. Tumeurs;524
2014;10;Hommes;2. Tumeurs;531
2015;10;Hommes;2. Tumeurs;522
2016;10;Hommes;2. Tumeurs;509
2017;10;Hommes;2. Tumeurs;500
2018;10;Hommes;2. Tumeurs;517
2019;10;Hommes;2. Tumeurs;505
2020;10;Hommes;2. Tumeurs;521
2021;10;Hommes;2. Tumeurs;490
2022;10;Hommes;2. Tumeurs;468
1990;11;Hommes;2. Tumeurs;579
1991;11;Hommes;2. Tumeurs;569
1992;11;Hommes;2. Tumeurs;576
1993;11;Hommes;2. Tumeurs;568
1994;11;Hommes;2. Tumeurs;548
1995;11;Hommes;2. Tumeurs;593
1996;11;Hommes;2. Tumeurs;569
1997;11;Hommes;2. Tumeurs;574
1998;11;Hommes;2. Tumeurs;581
1999;11;Hommes;2. Tumeurs;570
2000;11;Hommes;2. Tumeurs;574
2001;11;Hommes;2. Tumeurs;593
2002;11;Hommes;2. Tumeurs;603
2003;11;Hommes;2. Tumeurs;628
2004;11;Hommes;2. Tumeurs;601
2005;11;Hommes;2. Tumeurs;609
2006;11;Hommes;2. Tumeurs;576
2007;11;Hommes;2. Tumeurs;585
2008;11;Hommes;2. Tumeurs;593
2009;11;Hommes;2. Tumeurs;649
2010;11;Hommes;2. Tumeurs;627
2011;11;Hommes;2. Tumeurs;608
2012;11;Hommes;2. Tumeurs;653
2013;11;Hommes;2. Tumeurs;714
2014;11;Hommes;2. Tumeurs;684
2015;11;Hommes;2. Tumeurs;722
2016;11;Hommes;2. Tumeurs;756
2017;11;Hommes;2. Tumeurs;717
2018;11;Hommes;2. Tumeurs;696
2019;11;Hommes;2. Tumeurs;696
2020;11;Hommes;2. Tumeurs;732
2021;11;Hommes;2. Tumeurs;726
2022;11;Hommes;2. Tumeurs;749
1990;12;Hommes;2. Tumeurs;445
1991;12;Hommes;2. Tumeurs;468
1992;12;Hommes;2. Tumeurs;465
1993;12;Hommes;2. Tumeurs;451
1994;12;Hommes;2. Tumeurs;458
1995;12;Hommes;2. Tumeurs;487
1996;12;Hommes;2. Tumeurs;514
1997;12;Hommes;2. Tumeurs;458
1998;12;Hommes;2. Tumeurs;491
1999;12;Hommes;2. Tumeurs;458
2000;12;Hommes;2. Tumeurs;455
2001;12;Hommes;2. Tumeurs;455
2002;12;Hommes;2. Tumeurs;473
2003;12;Hommes;2. Tumeurs;491
2004;12;Hommes;2. Tumeurs;418
2005;12;Hommes;2. Tumeurs;483
2006;12;Hommes;2. Tumeurs;479
2007;12;Hommes;2. Tumeurs;431
2008;12;Hommes;2. Tumeurs;482
2009;12;Hommes;2. Tumeurs;445
2010;12;Hommes;2. Tumeurs;474
2011;12;Hommes;2. Tumeurs;458
2012;12;Hommes;2. Tumeurs;494
2013;12;Hommes;2. Tumeurs;447
2014;12;Hommes;2. Tumeurs;474
2015;12;Hommes;2. Tumeurs;476
2016;12;Hommes;2. Tumeurs;514
2017;12;Hommes;2. Tumeurs;497
2018;12;Hommes;2. Tumeurs;468
2019;12;Hommes;2. Tumeurs;475
2020;12;Hommes;2. Tumeurs;509
2021;12;Hommes;2. Tumeurs;481
2022;12;Hommes;2. Tumeurs;491
1990;13;Hommes;2. Tumeurs;2705
1991;13;Hommes;2. Tumeurs;2595
1992;13;Hommes;2. Tumeurs;2610
1993;13;Hommes;2. Tumeurs;2610
1994;13;Hommes;2. Tumeurs;2704
1995;13;Hommes;2. Tumeurs;2628
1996;13;Hommes;2. Tumeurs;2686
1997;13;Hommes;2. Tumeurs;2674
1998;13;Hommes;2. Tumeurs;2704
1999;13;Hommes;2. Tumeurs;2752
2000;13;Hommes;2. Tumeurs;2838
2001;13;Hommes;2. Tumeurs;2826
2002;13;Hommes;2. Tumeurs;2886
2003;13;Hommes;2. Tumeurs;2832
2004;13;Hommes;2. Tumeurs;2814
2005;13;Hommes;2. Tumeurs;2659
2006;13;Hommes;2. Tumeurs;2751
2007;13;Hommes;2. Tumeurs;2831
2008;13;Hommes;2. Tumeurs;2811
2009;13;Hommes;2. Tumeurs;2851
2010;13;Hommes;2. Tumeurs;2583
2011;13;Hommes;2. Tumeurs;2775
2012;13;Hommes;2. Tumeurs;2760
2013;13;Hommes;2. Tumeurs;2756
2014;13;Hommes;2. Tumeurs;2732
2015;13;Hommes;2. Tumeurs;2905
2016;13;Hommes;2. Tumeurs;2733
2017;13;Hommes;2. Tumeurs;2813
2018;13;Hommes;2. Tumeurs;2919
2019;13;Hommes;2. Tumeurs;2754
2020;13;Hommes;2. Tumeurs;2770
2021;13;Hommes;2. Tumeurs;2715
2022;13;Hommes;2. Tumeurs;2737
1990;14;Hommes;2. Tumeurs;927
1991;14;Hommes;2. Tumeurs;955
1992;14;Hommes;2. Tumeurs;899
1993;14;Hommes;2. Tumeurs;932
1994;14;Hommes;2. Tumeurs;949
1995;14;Hommes;2. Tumeurs;954
1996;14;Hommes;2. Tumeurs;1021
1997;14;Hommes;2. Tumeurs;1031
1998;14;Hommes;2. Tumeurs;1034
1999;14;Hommes;2. Tumeurs;960
2000;14;Hommes;2. Tumeurs;1004
2001;14;Hommes;2. Tumeurs;984
2002;14;Hommes;2. Tumeurs;1004
2003;14;Hommes;2. Tumeurs;1038
2004;14;Hommes;2. Tumeurs;1027
2005;14;Hommes;2. Tumeurs;1058
2006;14;Hommes;2. Tumeurs;1052
2007;14;Hommes;2. Tumeurs;1036
2008;14;Hommes;2. Tumeurs;1029
2009;14;Hommes;2. Tumeurs;1066
2010;14;Hommes;2. Tumeurs;1052
2011;14;Hommes;2. Tumeurs;1022
2012;14;Hommes;2. Tumeurs;1088
2013;14;Hommes;2. Tumeurs;1055
2014;14;Hommes;2. Tumeurs;1061
2015;14;Hommes;2. Tumeurs;1134
2016;14;Hommes;2. Tumeurs;1083
2017;14;Hommes;2. Tumeurs;1043
2018;14;Hommes;2. Tumeurs;1135
2019;14;Hommes;2. Tumeurs;1117
2020;14;Hommes;2. Tumeurs;1077
2021;14;Hommes;2. Tumeurs;1155
2022;14;Hommes;2. Tumeurs;1161
1990;15;Hommes;2. Tumeurs;288
1991;15;Hommes;2. Tumeurs;300
1992;15;Hommes;2. Tumeurs;271
1993;15;Hommes;2. Tumeurs;295
1994;15;Hommes;2. Tumeurs;301
1995;15;Hommes;2. Tumeurs;272
1996;15;Hommes;2. Tumeurs;274
1997;15;Hommes;2. Tumeurs;297
1998;15;Hommes;2. Tumeurs;280
1999;15;Hommes;2. Tumeurs;334
2000;15;Hommes;2. Tumeurs;331
2001;15;Hommes;2. Tumeurs;354
2002;15;Hommes;2. Tumeurs;305
2003;15;Hommes;2. Tumeurs;302
2004;15;Hommes;2. Tumeurs;313
2005;15;Hommes;2. Tumeurs;271
2006;15;Hommes;2. Tumeurs;304
2007;15;Hommes;2. Tumeurs;315
2008;15;Hommes;2. Tumeurs;293
2009;15;Hommes;2. Tumeurs;324
2010;15;Hommes;2. Tumeurs;284
2011;15;Hommes;2. Tumeurs;313
2012;15;Hommes;2. Tumeurs;329
2013;15;Hommes;2. Tumeurs;346
2014;15;Hommes;2. Tumeurs;340
2015;15;Hommes;2. Tumeurs;327
2016;15;Hommes;2. Tumeurs;267
2017;15;Hommes;2. Tumeurs;322
2018;15;Hommes;2. Tumeurs;317
2019;15;Hommes;2. Tumeurs;283
2020;15;Hommes;2. Tumeurs;328
2021;15;Hommes;2. Tumeurs;281
2022;15;Hommes;2. Tumeurs;285
1990;16;Hommes;2. Tumeurs;596
1991;16;Hommes;2. Tumeurs;557
1992;16;Hommes;2. Tumeurs;612
1993;16;Hommes;2. Tumeurs;612
1994;16;Hommes;2. Tumeurs;581
1995;16;Hommes;2. Tumeurs;599
1996;16;Hommes;2. Tumeurs;605
1997;16;Hommes;2. Tumeurs;566
1998;16;Hommes;2. Tumeurs;648
1999;16;Hommes;2. Tumeurs;602
2000;16;Hommes;2. Tumeurs;600
2001;16;Hommes;2. Tumeurs;651
2002;16;Hommes;2. Tumeurs;614
2003;16;Hommes;2. Tumeurs;642
2004;16;Hommes;2. Tumeurs;577
2005;16;Hommes;2. Tumeurs;601
2006;16;Hommes;2. Tumeurs;618
2007;16;Hommes;2. Tumeurs;557
2008;16;Hommes;2. Tumeurs;634
2009;16;Hommes;2. Tumeurs;683
2010;16;Hommes;2. Tumeurs;622
2011;16;Hommes;2. Tumeurs;664
2012;16;Hommes;2. Tumeurs;580
2013;16;Hommes;2. Tumeurs;668
2014;16;Hommes;2. Tumeurs;638
2015;16;Hommes;2. Tumeurs;670
2016;16;Hommes;2. Tumeurs;659
2017;16;Hommes;2. Tumeurs;657
2018;16;Hommes;2. Tumeurs;618
2019;16;Hommes;2. Tumeurs;624
2020;16;Hommes;2. Tumeurs;660
2021;16;Hommes;2. Tumeurs;670
2022;16;Hommes;2. Tumeurs;654
1990;17;Hommes;2. Tumeurs;974
1991;17;Hommes;2. Tumeurs;967
1992;17;Hommes;2. Tumeurs;960
1993;17;Hommes;2. Tumeurs;1021
1994;17;Hommes;2. Tumeurs;1037
1995;17;Hommes;2. Tumeurs;1024
1996;17;Hommes;2. Tumeurs;1053
1997;17;Hommes;2. Tumeurs;1016
1998;17;Hommes;2. Tumeurs;1068
1999;17;Hommes;2. Tumeurs;1139
2000;17;Hommes;2. Tumeurs;1083
2001;17;Hommes;2. Tumeurs;1114
2002;17;Hommes;2. Tumeurs;1129
2003;17;Hommes;2. Tumeurs;1104
2004;17;Hommes;2. Tumeurs;1154
2005;17;Hommes;2. Tumeurs;1243
2006;17;Hommes;2. Tumeurs;1183
2007;17;Hommes;2. Tumeurs;1256
2008;17;Hommes;2. Tumeurs;1253
2009;17;Hommes;2. Tumeurs;1233
2010;17;Hommes;2. Tumeurs;1222
2011;17;Hommes;2. Tumeurs;1256
2012;17;Hommes;2. Tumeurs;1319
2013;17;Hommes;2. Tumeurs;1317
2014;17;Hommes;2. Tumeurs;1310
2015;17;Hommes;2. Tumeurs;1388
2016;17;Hommes;2. Tumeurs;1269
2017;17;Hommes;2. Tumeurs;1388
2018;17;Hommes;2. Tumeurs;1261
2019;17;Hommes;2. Tumeurs;1332
2020;17;Hommes;2. Tumeurs;1342
2021;17;Hommes;2. Tumeurs;1378
2022;17;Hommes;2. Tumeurs;1354
1990;18;Hommes;2. Tumeurs;578
1991;18;Hommes;2. Tumeurs;624
1992;18;Hommes;2. Tumeurs;582
1993;18;Hommes;2. Tumeurs;623
1994;18;Hommes;2. Tumeurs;578
1995;18;Hommes;2. Tumeurs;672
1996;18;Hommes;2. Tumeurs;587
1997;18;Hommes;2. Tumeurs;610
1998;18;Hommes;2. Tumeurs;613
1999;18;Hommes;2. Tumeurs;592
2000;18;Hommes;2. Tumeurs;626
2001;18;Hommes;2. Tumeurs;596
2002;18;Hommes;2. Tumeurs;651
2003;18;Hommes;2. Tumeurs;654
2004;18;Hommes;2. Tumeurs;617
2005;18;Hommes;2. Tumeurs;693
2006;18;Hommes;2. Tumeurs;673
2007;18;Hommes;2. Tumeurs;694
2008;18;Hommes;2. Tumeurs;627
2009;18;Hommes;2. Tumeurs;660
2010;18;Hommes;2. Tumeurs;674
2011;18;Hommes;2. Tumeurs;658
2012;18;Hommes;2. Tumeurs;669
2013;18;Hommes;2. Tumeurs;621
2014;18;Hommes;2. Tumeurs;660
2015;18;Hommes;2. Tumeurs;671
2016;18;Hommes;2. Tumeurs;630
2017;18;Hommes;2. Tumeurs;634
2018;18;Hommes;2. Tumeurs;625
2019;18;Hommes;2. Tumeurs;619
2020;18;Hommes;2. Tumeurs;629
2021;18;Hommes;2. Tumeurs;595
2022;18;Hommes;2. Tumeurs;607
1990;19;Hommes;2. Tumeurs;466
1991;19;Hommes;2. Tumeurs;506
1992;19;Hommes;2. Tumeurs;456
1993;19;Hommes;2. Tumeurs;457
1994;19;Hommes;2. Tumeurs;465
1995;19;Hommes;2. Tumeurs;450
1996;19;Hommes;2. Tumeurs;497
1997;19;Hommes;2. Tumeurs;476
1998;19;Hommes;2. Tumeurs;474
1999;19;Hommes;2. Tumeurs;417
2000;19;Hommes;2. Tumeurs;480
2001;19;Hommes;2. Tumeurs;460
2002;19;Hommes;2. Tumeurs;467
2003;19;Hommes;2. Tumeurs;456
2004;19;Hommes;2. Tumeurs;431
2005;19;Hommes;2. Tumeurs;483
2006;19;Hommes;2. Tumeurs;476
2007;19;Hommes;2. Tumeurs;485
2008;19;Hommes;2. Tumeurs;511
2009;19;Hommes;2. Tumeurs;451
2010;19;Hommes;2. Tumeurs;471
2011;19;Hommes;2. Tumeurs;487
2012;19;Hommes;2. Tumeurs;436
2013;19;Hommes;2. Tumeurs;462
2014;19;Hommes;2. Tumeurs;482
2015;19;Hommes;2. Tumeurs;438
2016;19;Hommes;2. Tumeurs;469
2017;19;Hommes;2. Tumeurs;443
2018;19;Hommes;2. Tumeurs;436
2019;19;Hommes;2. Tumeurs;449
2020;19;Hommes;2. Tumeurs;479
2021;19;Hommes;2. Tumeurs;435
2022;19;Hommes;2. Tumeurs;442
1990;21;Hommes;2. Tumeurs;735
1991;21;Hommes;2. Tumeurs;751
1992;21;Hommes;2. Tumeurs;790
1993;21;Hommes;2. Tumeurs;818
1994;21;Hommes;2. Tumeurs;747
1995;21;Hommes;2. Tumeurs;742
1996;21;Hommes;2. Tumeurs;755
1997;21;Hommes;2. Tumeurs;797
1998;21;Hommes;2. Tumeurs;778
1999;21;Hommes;2. Tumeurs;789
2000;21;Hommes;2. Tumeurs;793
2001;21;Hommes;2. Tumeurs;776
2002;21;Hommes;2. Tumeurs;778
2003;21;Hommes;2. Tumeurs;795
2004;21;Hommes;2. Tumeurs;758
2005;21;Hommes;2. Tumeurs;803
2006;21;Hommes;2. Tumeurs;802
2007;21;Hommes;2. Tumeurs;779
2008;21;Hommes;2. Tumeurs;742
2009;21;Hommes;2. Tumeurs;764
2010;21;Hommes;2. Tumeurs;738
2011;21;Hommes;2. Tumeurs;800
2012;21;Hommes;2. Tumeurs;835
2013;21;Hommes;2. Tumeurs;762
2014;21;Hommes;2. Tumeurs;812
2015;21;Hommes;2. Tumeurs;795
2016;21;Hommes;2. Tumeurs;786
2017;21;Hommes;2. Tumeurs;801
2018;21;Hommes;2. Tumeurs;771
